Company name,Sector,Industry,Country,Report type,Report year,Report link,Source
Ranhill Utilities Bhd,Infrastructure,Water Utilities & Services,Malaysia,Sustainability Report,2023,https://www.insage.com.my/ir/cmn/downloading.aspx?sFileName=24121000057423&sReportType=AUDIT3&sCompanyCode=RANHILL,SASB
Rank Group PLC,Services,Casinos & Gaming,Britain,Sustainability Report,2023,https://www.rank.com/content/dam/rank-group/corporate/documents/Results_Reports_Presentations/2023/Rank%20Group%20Sustainability%20Report%202023.pdf,SASB
Ranpak Holdings Corp,Resource Transformation,Containers & Packaging,United States,Sustainability Report,2023,https://s24.q4cdn.com/837608166/files/doc_downloads/2023/2023-esg-report-digital_080524_small.pdf,SASB
Rapid7 Inc,Technology & Communications,Software & IT Services,United States,Social Good Report,2023,https://www.rapid7.com/globalassets/_pdfs/rapid7-social-good-2023-partial-ghg.pdf,SASB
Raymond James Financial Inc,Financials,Investment Banking & Brokerage,United States,CSR Report,2023,https://www.raymondjames.com/-/media/rj/dotcom/files/pdfs/2023_corp_responsibility_report.pdf,SASB
Rayonier Advanced Materials Inc,Renewable Resources & Alternative Energy,Pulp & Paper Products,United States,Sustainability Report,2023,https://s36001.pcdn.co/wp-content/uploads/2024/10/2023SustainabilityReport-FinalEnglish.pdf,SASB
Rayonier Inc,Renewable Resources & Alternative Energy,Forestry Management,United States,Sustainability Report,2023,https://www.rayonier.com/media/20475868/rayonier-sustainability-report-2022.pdf,Google search
Raytheon Technologies Corp,Resource Transformation,Aerospace & Defence,United States,ESG Report,2023,https://www.rtx.com/our-responsibility/-/media/rtx/social-impact/our-esg-vision/esg-2024/report/2023-esg-esgappendix.pdf#page=23,SASB
RB Global Inc,Services,Professional & Commercial Services,United States,ESG Report,2023,https://s24.q4cdn.com/560830410/files/doc_downloads/2024/Sustainability/07/RB-Global-2023-ESG-Report.pdf,SASB
RBC - Royal Bank of Canada,Financials,Commercial Banks,Canada,ESG Report,2023,https://www.rbc.com/collectivite-impact-social/_assets-custom/pdf/esg-rapport-de-progression-2023.pdf,SASB
RCL Foods Ltd,Food & Beverage,"Meat, Poultry & Dairy",South Africa,Sustainability Report,2024,https://rclfoods.com/wp-content/uploads/2024/09/2024-Sustainable-Business-Report.pdf,SASB
Re:NewCell AB,Resource Transformation,Chemicals,Sweden,Sustainability Report,2022,https://www.renewcell.com/en/wp-content/uploads/sites/2/2023/04/renewcell-annual-report-2022-230425.pdf,SASB
Reach PLC,Services,Media & Entertainment,Britain,Annual Report,2024,https://www.reachplc.com/content/dam/reach/corporate/documents/investors/annual-reports/annual-report-2024.pdf,SASB
Real Matters Inc,Infrastructure,Real Estate Services,Canada,Sustainability Report,2023,https://s26.q4cdn.com/837377722/files/doc_downloads/2024/09/real-matters-2023-sustainability-report-final.pdf,SASB
RealReal Inc/The,Consumer Goods,E-commerce,United States,SASB Index,2020,https://annualreport.stocklight.com/nasdaq/real/23686749.pdf,DuckDuckGo
Realty Income Corp,Infrastructure,Real Estate,United States,Sustainability Report,2023,https://www.realtyincome.com/sites/realty-income/files/realty-income/sustainability/sustainability-report/realty-income-corporation-2023-sustainability-report.pdf,SASB
Reckitt Benckiser Group PLC,Consumer Goods,Household & Personal Products,Britain,Data Book,2024,https://www.reckitt.com/media/da4hdggo/reckitt_sustainability-report_2023.pdf,Google search
Record PLC,Financials,Asset Management & Custody Activities,Britain,SASB Index,2023,https://recordfg.com/wp-content/uploads/2023/08/SASB_Index_Report_FY23.pdf,SASB
Recruit Holdings,Services,Professional & Commercial Services,Japan,ESG Data Book,2024,https://recruit-holdings.com/en/sustainability/data/esgdatabook/20250325.pdf,SASB
Recursion Pharmaceuticals Inc,Health Care,Biotechnology & Pharmaceuticals,United States,ESG Report,2025,https://cdn.prod.website-files.com/604197abb43603652c167bfa/64231b5e9e59e8385eb3fe1b_Final_Recursion_ESG_2023.pdf,Google search
Red Electrica Corp SA,Infrastructure,Electric Utilities & Power Generators,Spain,Sustainability Report,2023,https://www.redeia.com/sites/default/files/publication/2024/04/downloadable/Redeia_Sustainability_Report_2023.pdf,SASB
